[11:20:17:0917]  CRecording::Stop 18405.8 s.
[11:20:21:0009]  CRecording::Stop 18408.9 s.
[11:20:24:0233]  CRecording::Start
[11:20:28:0401]  CRecording::Stop 4.167 s.
[11:20:41:0432]  CRecording::Start
[11:20:48:0585]  CRecording::Stop 7.151 s.
[11:22:02:0248]  CRecording::Start
[11:22:11:0656]  CRecording::Stop 9.406 s.
[11:22:47:0800]  CRecording::Stop 45.55 s.
[11:22:49:0000]  CRecording::Stop 46.75 s.
[11:23:48:0943]  CRecording::Start
[11:23:55:0184]  CRecording::Stop 6.24 s.
[11:25:29:0614]  CRecording::Stop 100.67 s.
